id,gender,age,education,combined_covid_conspriacy,china_covid_conspiracy,generic_covid_conspiracy,generic_covid_conspiracy_wo_hoax,combined_covid_conspriacy_wo_hoax,negative_feelings_italy,negative_feelings_china,negative_feelings_roma,social_distance_italy,social_distance_china,social_distance_roma,discrimination_italy,discrimination_china,discrimination_roma,italy_composite,china_composite,roma_comspotie,information_exposure,anxiety,lack_of_control
425,2,26,3,3.41666666666667,2.75,3.75,3.57142857142857,3.27272727272727,50,50,100,1,1,2,6,5,7,.191597070596044,-.184878139070855,.187947238370318,1,1.75,1.75
426,2,52,3,3.83333333333333,3.5,4,4,3.81818181818182,50,51,100,1,4.66666666666667,6.33333333333333,2,2,7,-.317408939869535,.7487805976938,1.40413778482043,5.33333333333333,6.5,6.5
427,2,58,3,1,1,1,1,1,0,50,50,4,3.33333333333333,4,1,1,1,.287442835066973,.158832982738916,-.242251580096638,6,4,4.5
428,2,69,3,1.33333333333333,1.75,1.125,1.14285714285714,1.36363636363636,26,54,63,3,2.33333333333333,3,2,2,2,.255439601887952,-.0333230602018757,-.329707019195063,4.33333333333333,3.75,3
429,1,60,3,3.16666666666667,1.5,4,4,3.09090909090909,20,21,75,1,3.66666666666667,5.66666666666667,1,1,5,-.720420775634019,.00246829602241712,.81001115612162,5.66666666666667,2,2.25
430,2,75,3,1,1,1,1,1,29,30,49,1,1.66666666666667,5,1,1,1,-.637692675689592,-.616445909027521,-.00464568963485692,5.33333333333333,3,2
431,2,54,3,2.83333333333333,3,2.75,3,3,46,43,43,3.66666666666667,3.66666666666667,4.66666666666667,2,3,2,.705132247146726,.436936573420563,-.020128151520929,5.66666666666667,3.5,3.25
432,2,33,3,3.25,3.25,3.25,3.28571428571429,3.27272727272727,50,50,50,3,3,3,3,3,3,.604311784613338,.273427199576163,-.328992488051765,3,2,3.5
433,1,67,3,3.5,2.25,4.125,4.42857142857143,3.63636363636364,66,50,62,1.33333333333333,2.66666666666667,3.66666666666667,2,1,1,-.0368789403942174,-.0996811351146587,-.270563988284,4.66666666666667,2,3.5
434,2,35,3,2.25,1,2.875,3.14285714285714,2.36363636363636,49,49,91,1,1,4.33333333333333,7,4,1,.309656562107502,-.309620711813135,.153532644123951,5.66666666666667,7,2.5
